Day,Time at Work,Time at Home,Other Time,Time Left Home,Time Back Home,Geodiameter(place coordinates),Geodiameter(All coordinates),Weekday,Anomaly,Anomaly Reason
20140905,,,,,,,,Weekday,No,N/A
20140906,112,452,102,20140906T203252-0400,,9053.785807073276,9185.788253802435,Weekend,Yes,Time at Work
20140907,182,277,94,,20140907T042251-0400,14199.415702341128,14298.411896159392,Weekend,Yes,Weekend Model Explains it
20140908,310,866,2,,20140908T180639-0400,7644.843273421373,8083.894864793557,Weekday,Yes,Time at Work
20140909,0,868,182,,,9562.478127641702,10088.686687129115,Weekday,Yes,Time at Work
20140910,291,2882,0,20140910T082033-0400,20140910T144355-0400,7653.586134519237,9435.639992417753,Weekday,Yes,Time at Work
20140911,0,2463,0,,,0,0,Weekday,Yes,Time at Work
20140912,428,2674,258,20140912T074702-0400,20140912T165354-0400,9095.117399875859,9373.072047559646,Weekday,Yes,Time at Work
20140913,0,256,286,,,9095.117399875859,10106.047326879332,Weekend,Yes,Time at Work
20140914,0,975,53,,,9916.15501413262,10186.79655717164,Weekend,Yes,Time at Work
20140915,0,1217,27,,,3010.78356427297,8123.361196859797,Weekday,Yes,Time at Work
20140916,161,2072,48,20140916T140801-0400,20140916T191456-0400,8180.962045935739,8522.573657351248,Weekday,Yes,Time at Work
20140917,561,1733,17,20140917T093729-0400,20140917T205557-0400,7689.35631906597,8317.699782138858,Weekday,Yes,Time at Home
20140918,286,1741,2,20140918T113505-0400,20140918T180207-0400,7726.218310054846,8181.065379783664,Weekday,Yes,Time at Work
20140919,0,2239,0,,,253.18821062401113,253.18821062401113,Weekday,Yes,Time at Work
20140920,4,1095,270,20140920T201405-0400,,8871.410486637875,9135.239523832213,Weekend,Yes,Time at Work
20140921,12,1936,49,,20140921T013217-0400,8992.328423650564,8992.971470816314,Weekend,Yes,Time at Work
20140922,341,2242,26,20140922T101802-0400,20140922T182544-0400,8018.57539994001,8181.925166335198,Weekday,Yes,Time at Work
20140923,262,1812,102,20140923T111512-0400,20140923T192832-0400,8457.518744566469,8833.633337507119,Weekday,Yes,Time at Work
20140924,339,1851,19,20140924T085148-0400,20140924T162247-0400,7644.843273421373,8176.474205274609,Weekday,Yes,Time at Work
20140925,358,1805,0,20140925T095119-0400,20140925T175330-0400,8022.350630895719,8201.39561673347,Weekday,Yes,Time at Work
20140926,247,2180,0,20140926T063047-0400,20140926T181203-0400,7644.843273421373,8061.792050827085,Weekday,Yes,Time at Work
20140927,0,1470,136,,,9360.88850321778,9853.010623632865,Weekend,Yes,Time at Work
20140928,0,2056,0,,,0,893.2366764003353,Weekend,Yes,Time at Work
20140929,313,3139,8,20140929T105946-0400,20140929T174225-0400,7644.843273421373,8132.618636779213,Weekday,Yes,Time at Work
20140930,0,2354,0,,,0,120.16659506463147,Weekday,Yes,Time at Work
20141001,56,1280,0,20141001T090349-0400,,7644.843273421373,8230.412936112883,Weekday,Yes,Time at Work
Mean over all,163.96153846153845,1689.8076923076924,64.65384615384616,11:21:50,15:51:15,7130.13279197802,7729.580872768706
Std Dev over all,166.8010055239086,760.0084523432197,88.46596142789012,4:5:29,5:28:19,3453.247618828951,3398.6647414849294
Var over all,27822.57544378699,577612.847633136,7826.226331360944,60262:30:55,107797:28:6,11924919.11694782,11550922.025012821
Mean over Weekdays,219.61111111111111,1967.6666666666667,38.388888888888886,9:51:34,18:0:12,6438.57506969441,7128.755575738437
Std Dev over Weekdays,168.0615425930794,620.773084324878,69.91911111252368,1:55:6,1:30:19,3107.5730809881634,3180.268711324746
Var over Weekdays,28244.682098765436,385359.2222222222,4888.682098765432,13248:48:3,8157:17:42,9657010.453682266,10114109.076231161
Mean over WeekEnds,38.75,1064.625,123.75,20:23:28,2:57:34,8686.137667116138,9081.437791086817
Std Dev over WeekEnds,65.01490213789451,667.5458668698354,96.90813949302711,0:9:23,1:25:17,3678.382151235653,3484.8248446193275
Var over WeekEnds,4226.9375,445617.484375,9391.1875,88:12:12,7273:14:49,13530495.250529032,12144004.197676118
